hts8,quantity_1_code,quantity_2_code,wto_binding_code,mfn_rate_type_code,mfn_ad_val_rate,mfn_specific_rate,mfn_other_rate,gsp_indicator,gsp_ctry_excluded,apta_indicator,civil_air_indicator,nafta_canada_ind,nafta_mexico_ind,mexico_rate_type_code,cbi_indicator,cbi_ad_val_rate,cbi_specific_rate,agoa_indicator,cbtpa_indicator,israel_fta_indicator,jordan_indicator,jordan_rate_type_code,jordan_specific_rate,jordan_other_rate,singapore_indicator,chile_indicator,morocco_indicator,morocco_rate_type_code,morocco_ad_val_rate,morocco_specific_rate,australia_indicator,australia_rate_type_code,australia_ad_val_rate,bahrain_indicator,bahrain_rate_type_code,dr_cafta_indicator,dr_cafta_rate_type_code,dr_cafta_ad_val_rate,dr_cafta_specific_rate,dr_cafta_plus_indicator,dr_cafta_plus_rate_type_code,dr_cafta_plus_ad_val_rate,dr_cafta_plus_specific_rate,oman_indicator,peru_indicator,peru_rate_type_code,peru_ad_val_rate,peru_specific_rate,pharmaceutical_ind,dyes_indicator,col2_rate_type_code,col2_ad_val_rate,col2_specific_rate,col2_other_rate,begin_effect_date,end_effective_date,footnote_comment,additional_duty,korea_indicator,korea_rate_type_code,korea_ad_val_rate,korea_specific_rate,colombia_indicator,colombia_rate_type_code,colombia_ad_val_rate,colombia_specific_rate,panama_indicator,panama_rate_type_code,panama_ad_val_rate,panama_specific_rate,nepal_indicator,japan_indicator,japan_rate_type_code,japan_ad_val_rate,usmca_indicator,usmca_rate,usmca_ad_val_rate,usmca_specific
84561190,NO,0,B,7,0.02,0.0,0.0,A*,TH,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.35,0.0,0.0,12/30/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84561210,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84561270,NO,0,B,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2017,12/31/2050,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
84561290,NO,0,B,7,0.02,0.0,0.0,A*,UA,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84562010,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84562050,NO,0,B,7,0.02,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.35,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84563010,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84563050,NO,0,B,7,0.02,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.35,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84564010,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84564090,NO,0,B,7,0.02,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.35,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84565000,NO,0,B,7,0.02,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.35,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84569031,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84569071,NO,0,B,7,0.02,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.35,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84571000,NO,0,B,7,0.04,0.0,0.0,A*,TH,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84572000,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84573000,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84581100,NO,0,B,7,0.04,0.0,0.0,A*,TH,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84581900,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84589110,NO,0,B,7,0.04,0.0,0.0,A*,TH,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84589150,NO,0,B,7,0.04,0.0,0.0,A*,TH,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84589910,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84589950,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84591000,NO,0,B,7,0.03,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84592100,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84592900,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84593100,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84593900,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84594100,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84594900,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84595100,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84595900,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84596100,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84596900,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84597040,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84597080,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84601200,NO,0,B,7,0.04,0.0,0.0,A*,TH,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84601901,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84602200,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84602300,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,0,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84602400,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84602901,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84603100,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84603900,NO,0,B,7,0.04,0.0,0.0,A*,TH,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84604040,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84604080,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84609040,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,01/01/2021,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,JP,0.0,0.0,S,0.0,0.0,0.0
84609080,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84612040,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84612080,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84613040,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
84613080,NO,0,B,7,0.04,0.0,0.0,A,0,0,0,CA,MX,0,E,0.0,0.0,D,0,IL,JO,0.0,0.0,0.0,SG,CL,MA,0.0,0.0,0.0,AU,0.0,0.0,BH,0,P,0,0.0,0.0,0,0.0,0.0,0.0,OM,PE,0.0,0.0,0.0,0,0,7,0.3,0.0,0.0,07/01/2020,12/31/2050,0,0,KR,0.0,0.0,0.0,CO,0.0,0.0,0.0,PA,0,0.0,0.0,0,0,0.0,0.0,S,0.0,0.0,0.0
